qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
5391,877,10,206,24,22,01:45.4,,
5392,877,37,164,22,23,01:45.8,,
5393,877,39,164,23,24,01:46.4,,
5394,878,20,9,1,1,01:36.6,01:35.8,01:35.7
5395,878,1,1,4,2,01:37.1,01:36.8,01:35.8
5396,878,17,9,2,3,01:37.2,01:36.3,01:36.2
5397,878,154,208,10,4,01:37.5,01:36.9,01:36.6
5398,878,8,208,9,5,01:38.1,01:37.4,01:36.7
5399,878,30,131,7,6,01:37.9,01:37.1,01:36.8
5400,878,13,6,6,7,01:37.7,01:36.5,01:36.9
5401,878,807,10,12,8,01:37.8,01:37.1,01:37.1
5402,878,4,6,5,9,01:38.0,01:37.1,01:37.3
5403,878,813,3,18,10,01:37.5,01:37.0,01:37.8
5404,878,811,3,19,11,01:37.5,01:37.6,
5405,878,18,1,3,12,01:37.6,01:37.6,
5406,878,814,10,11,13,01:38.1,01:37.7,
5407,878,818,5,17,14,01:38.4,01:37.9,
5408,878,815,15,15,15,01:38.5,01:38.2,
5409,878,155,15,14,16,01:38.4,01:38.4,
5410,878,3,131,8,17,01:38.9,01:38.5,
5411,878,817,5,16,18,01:39.1,,
5412,878,10,206,24,19,01:40.1,,
5413,878,819,206,25,20,01:40.7,,
5414,878,808,207,21,21,01:40.8,,
5415,878,5,207,20,22,01:41.2,,
5416,878,37,164,22,23,01:42.0,,
5417,878,39,164,23,24,01:42.7,,
5418,879,1,1,4,1,01:15.1,01:13.4,01:12.5
5419,879,18,1,3,2,01:15.5,01:13.5,01:12.5
5420,879,17,9,2,3,01:16.2,01:13.7,01:12.6
5421,879,20,9,1,4,01:15.6,01:13.2,01:12.8
5422,879,13,6,6,5,01:16.3,01:14.0,01:13.0
5423,879,813,3,18,6,01:16.3,01:13.7,01:13.2
5424,879,807,10,12,7,01:15.5,01:13.7,01:13.2
5425,879,4,6,5,8,01:16.1,01:13.9,01:13.3
5426,879,8,208,9,9,01:16.4,01:13.7,01:13.3
5427,879,3,131,8,10,01:15.9,01:13.8,01:13.5
5428,879,814,10,11,11,01:15.9,01:14.1,
5429,879,811,3,19,12,01:15.3,01:14.2,
5430,879,815,15,15,13,01:16.0,01:14.2,
5431,879,30,131,7,14,01:16.0,01:14.3,
5432,879,155,15,14,15,01:16.4,01:14.4,
5433,879,817,5,16,16,01:16.7,01:14.6,
5434,879,818,5,17,17,01:16.7,01:14.6,
5435,879,154,208,10,18,01:17.0,,
5436,879,808,207,21,19,01:17.1,,
5437,879,5,207,20,20,01:17.1,,
5438,879,10,206,24,21,01:17.5,,
5439,879,819,206,25,22,01:18.1,,
5440,879,39,164,23,23,01:19.6,,
5441,879,37,164,22,24,01:19.7,,
5442,880,20,9,1,1,01:44.7,01:36.7,01:27.4
5443,880,17,9,2,2,01:44.5,01:36.5,01:27.8
5444,880,1,131,10,3,01:45.5,01:36.6,01:28.1
5445,880,13,6,4,4,01:44.6,01:36.7,01:28.5
5446,880,4,6,3,5,01:43.9,01:36.7,01:28.5
5447,880,3,131,9,6,01:43.4,01:36.2,01:28.5
5448,880,8,208,7,7,01:45.5,01:37.5,01:28.7
5449,880,154,208,8,8,01:44.3,01:37.6,01:29.0
5450,880,814,10,14,9,01:45.6,01:36.9,01:29.3
5451,880,18,1,5,10,01:44.7,01:36.6,01:30.4
5452,880,807,15,11,11,01:45.9,01:38.1,
5453,880,16,10,15,12,01:47.3,01:38.1,
5454,880,818,5,18,13,01:44.9,01:38.8,
5455,880,817,5,19,14,01:46.5,01:39.0,
5456,880,815,1,6,15,01:44.4,01:39.9,
5457,880,822,3,17,16,01:47.3,01:40.3,
5458,880,813,3,16,17,01:47.6,,
5459,880,821,15,12,18,01:47.8,,
5460,880,824,206,22,19,01:48.1,,
5461,880,820,206,23,20,01:48.9,,
5462,880,823,207,21,21,01:49.5,,
5463,880,819,207,20,22,01:50.6,,
5464,881,20,9,1,1,01:37.9,01:37.2,01:49.7
5465,881,13,6,4,2,01:37.7,01:36.9,01:50.6
5466,881,4,6,3,3,01:37.3,01:36.9,01:50.7
5467,881,1,131,10,4,01:37.5,01:36.5,01:51.7
5468,881,17,9,2,5,01:37.6,01:36.4,01:52.2
5469,881,3,131,9,6,01:37.2,01:36.2,01:52.5
5470,881,8,208,7,7,01:37.0,01:36.6,01:53.0
5471,881,18,1,5,8,01:37.5,01:37.1,01:53.2
5472,881,16,10,15,9,01:36.8,01:36.8,01:53.4
5473,881,815,1,6,10,01:37.7,01:37.3,01:54.1
5474,881,154,208,8,11,01:37.4,01:37.6,
5475,881,807,15,11,12,01:37.9,01:38.1,
5476,881,817,5,19,13,01:37.7,01:38.8,
5477,881,821,15,12,14,01:37.7,01:39.2,
5478,881,814,10,14,15,01:37.5,01:44.5,
5479,881,813,3,16,16,01:37.9,,
5480,881,818,5,18,17,01:38.2,,
5481,881,822,3,17,18,01:38.2,,
5482,881,824,206,22,19,01:38.4,,
5483,881,819,207,20,20,01:39.3,,
